Feature 1,Feature 2,Oil Type
9.658071,11.477896,SO C
7.6609354,10.896775,SO C
5.3234496,7.101746,SO C
7.832298,7.8288245,SO C
0.1270755,9.719494,SO C
-5.3908205,-0.8121977,SO C
-9.589941,0.3590312,SO C
-7.3000703,-1.4687228,SO C
8.441175,8.13049,SO C
-7.132327,-2.826443,SO C
-7.2226562,-0.053145036,SO C
-6.60727,-1.9819242,SO C
-4.0172563,-0.36858484,SO C
9.683395,9.015429,SO C
-2.241777,2.2548559,SO C
-13.409462,0.16763347,SO C
-12.224899,-1.1267661,SO C
-7.5853453,-2.6157854,SO C
-7.039001,-0.57368976,SO C
-12.9737425,1.6589245,SO C
-10.21507,-1.7219435,SO C
-10.22324,-1.2670888,SO C
-9.287523,-1.6254758,SO C
-9.806896,0.6820753,SO C
-10.798967,0.2883412,SO C
-10.737964,-1.8147002,SO C
-9.9344225,-2.0213237,SO C
-8.789801,-2.287277,SO C
-3.270714,0.521799,SO C
-3.7847672,-0.43572342,SO C
-7.8305383,-2.9677136,SO C
-11.292221,-1.3915669,SO C
-4.0329914,-0.3628973,SO C
-4.1580963,-0.85481435,SO C
-7.0424814,-1.1466705,SO C
-10.357798,0.23102388,SO C
-5.8467765,1.454302,SO C
-7.752607,1.7452303,SO C
-10.480714,1.8863224,SO C
-8.078406,1.6943443,SO C
-5.4419904,2.2032797,SO C
-4.878985,-0.09870893,SO C
-5.9358563,1.0553842,SO C
-9.160021,-1.0659778,SO C
-10.523927,2.239514,SO C
-6.63218,-0.8119642,SO C
-3.229427,-0.39991045,SO C
-7.904462,2.7664185,SO C
-7.791803,1.87596,SO C
-8.53569,-1.3377358,SO C
-9.567498,-0.8977111,SO C
3.1437836,6.0936985,SO C
-0.6572634,8.222536,SO C
-3.7533329,0.4328014,SO C
-5.983421,2.4216015,SO C
-1.12847,4.4599237,SO C
3.7119992,7.627624,SO C
3.8684225,7.508952,SO C
-5.749726,4.139554,SO C
-0.7889726,3.6337972,SO C
-0.058488104,5.23283,SO C
3.3170283,7.636165,SO C
-0.2823345,5.068147,SO C
-5.959303,2.461924,SO C
-5.3893995,2.966067,SO C
-0.34757492,5.1304917,SO C
3.7376437,7.473379,SO C
4.0715733,9.234906,SO C
3.686941,7.224239,SO C
-1.7492028,4.6845365,SO C
8.049093,10.12706,SO C
-5.7897677,2.7732449,SO C
-3.1236155,-1.1095717,SO C
-13.349491,1.7723804,SO C
-13.305658,2.2754066,SO C
10.683695,12.892932,SO C
9.592213,11.824586,SO C
8.451553,11.08106,SO C
10.611638,12.745729,SO C
9.23707,11.157215,SO C
10.824481,13.059851,SO C
10.883938,13.086393,SO C
10.821056,13.015759,SO C
10.745424,12.993372,SO C
10.843621,12.999147,SO C
10.731687,12.981201,SO C
10.803506,12.997063,SO C
10.603748,12.778349,SO C
10.713134,12.944453,SO C
8.454393,9.622992,SO C
7.2299232,7.6309347,SO C
7.463484,7.573044,SO C
7.5065427,7.465937,SO C
0.5202346,8.685517,SO C
-6.414098,0.5442425,SO C
-11.487839,0.36950824,SOYO C
-9.660999,2.1411235,SOYO C
-11.774227,2.1760385,SOYO C
0.7416103,8.089365,SOYO C
-9.193265,-0.5604607,SOYO C
-6.767735,1.3482127,SOYO C
-11.954802,2.14489,SOYO C
-9.670081,1.9436688,SOYO C
-11.306113,0.010883747,SOYO C
-8.1937065,-0.68225664,SOYO C
-12.972025,1.5418242,SOYO C
-9.064835,0.24656937,SOYO C
-11.321869,1.1520818,SOYO C
-12.536189,0.27239877,SOYO C
-14.739928,4.3811145,SOYO C
-13.388072,0.8818112,SOYO C
-13.322758,1.723057,SOYO C
-13.937296,1.91292,SOYO C
-13.777804,1.0596979,SOYO C
-14.2228985,1.4617119,SOYO C
7.4617295,10.653225,SOYO C
4.274413,9.558745,SOYO C
0.26027283,6.1004744,SOYO C
1.532386,7.325437,SOYO C
-0.92850035,2.8281543,SOYO C
3.548398,6.926836,SOYO C
4.2996006,7.2109303,SOYO C
-1.2185876,4.437597,SOYO C
-2.1125243,4.343612,SOYO C
-1.6586459,4.9231343,SOYO C
-0.7472841,3.926399,SOYO C
-0.89501774,2.8550286,SOYO C
0.905902,5.6539507,SOYO C
2.8810651,7.757158,SOYO C
-0.56927615,4.8671675,SOYO C
-2.5212328,2.3383765,SOYO C
-1.5023695,4.7742753,SOYO C
3.4225445,8.811024,SOYO C
-0.6033993,5.1668224,SOYO C
-5.5860405,3.0371752,SOYO C
-10.040435,5.587583,SOYO C
-13.635984,3.0650382,SOYO C
-13.667777,2.2738597,SOYO C
-14.010819,2.8086467,SOYO C
-13.707995,2.4434357,SOYO C
-12.877225,3.1281378,SOYO C
-12.704309,1.4483817,SOYO C
-13.763367,0.95705956,SOYO C
-14.55374,2.8691714,SOYO C
-14.444693,2.8051078,SOYO C
-12.305801,0.9831844,SOYO C
-13.851702,4.329338,SOYO C
-13.335712,3.4365602,SOYO C
-14.291037,2.3283117,SOYO C
-14.068671,2.9772897,SOYO C
-12.742762,0.640587,SOYO C
-12.662807,1.7582598,SOYO C
-13.091821,2.0074346,SOYO C
-13.597117,1.5165857,SOYO C
-13.194909,2.16924,SOYO C
5.7498455,5.5911713,SOYO C
4.4223,6.446295,SOYO C
6.844874,8.35173,SOYO C
6.2502613,7.348183,SOYO C
6.444646,8.154781,SOYO C
-7.5372453,5.6623735,SOYO C
-0.07349146,7.1075892,SOYO C
-1.6559919,6.378461,SOYO C
-1.7845657,2.3860588,SOYO C
-6.6527615,-8.5717,SOYO C
-4.480663,0.75877535,SOYO C
-2.7185464,7.7762704,SOYO C
-6.193148,-5.906924,SOYO C
-3.3561811,0.66481626,SOYO C
-8.823543,0.26911506,SOYO C
-4.486636,-1.9542445,SOYO C
-7.214148,-4.1111283,SOYO C
-7.30658,-1.9578239,SOYO C
-11.397192,5.2625713,SOYO C
-13.462286,-3.252763,SOYO C
5.7077613,8.176471,SOYO C
3.7915895,8.3380165,SOYO C
-3.6169975,4.9076667,SOYO C
-9.973202,-7.984571,SOYO C
-1.287909,3.3152845,SOYO C
3.1635382,7.0446672,SOYO C
5.183007,6.916317,SOYO C
-3.2344983,4.23366,SOYO C
-3.4768665,2.5738065,SOYO C
-6.8318615,1.6223625,SOYO C
-0.1669093,5.969807,SOYO C
4.4491,8.016133,SOYO C
3.793523,7.0653424,SOYO C
-2.5409229,3.5944736,SOYO C
-3.767118,3.250274,SOYO C
0.7086508,5.050372,SOYO C
4.8885207,7.2074103,SOYO C
5.553389,7.390364,SOYO C
-2.3980737,3.039805,SOYO C
-4.717558,1.1239865,SOYO C
6.399699,11.274316,SOYO C
5.5008655,10.945471,SOYO C
4.744075,10.028657,SOYO C
8.576979,-1.9323938,SOYO C
7.8458147,8.154982,SOYO C
3.835815,6.2268925,SOYO C
-6.8318267,3.5953226,SOYO C
3.6577816,5.646931,SOYO C
0.2750417,-2.5763605,SOYO C
1.7255914,5.3791184,SOYO C
-2.9853137,3.8331516,SOYO C
-8.855058,1.8730066,SOYO C
-3.5954878,3.3809872,SOYO C
-4.6691675,4.116753,SOYO C
1.0462625,6.676554,SOYO C
0.6461729,5.5451636,SOYO C
-2.798247,4.8658113,SOYO C
-6.923957,1.0174549,SOYO C
-0.24960953,4.093576,SOYO C
-10.876164,4.0408173,SOYO C
5.2253723,8.7519455,SOYO C
3.0859935,6.8668404,SOYO C
-2.66816,5.255938,SOYO C
-1.1404976,7.5307837,SOYO C
3.9718795,8.249838,SOYO C
4.8483834,8.027684,SOYO C
1.7906264,7.7194176,SOYO C
1.0859859,5.2616587,SOYO C
2.1346962,-9.465054,SOYO C
5.0296288,8.214482,SOYO C
6.1055164,10.57659,SOYO C
5.2385244,7.7981815,SOYO C
4.461178,7.4689717,SOYO C
-0.6278993,-2.990362,SOYO C
5.5011573,8.6629,SOYO C
5.64298,8.25229,SOYO C
5.765714,9.931489,SOYO C
6.3519163,9.886505,SOYO C
3.722453,6.5833583,SOYO C
3.969063,8.639278,SOYO C
7.4824433,11.771581,SOYO C
5.257431,10.266436,SOYO C
5.6148553,10.151592,SOYO C
5.8448515,10.77633,SOYO C
0.7571183,6.168111,SOYO C
4.107916,10.618055,SOYO C
4.229645,10.281628,SOYO C
4.798165,9.544952,SOYO C
2.526053,7.745927,SOYO C
0.33418903,6.739849,SOYO C
5.6392136,9.662184,SOYO C
6.0976853,9.739708,SOYO C
6.1647363,9.766902,SOYO C
3.2407508,8.104642,SOYO C
2.1097937,8.142373,SOYO C
-13.013178,-0.8463073,SOYO C
-15.748574,2.565286,SOYO C
-17.413935,0.41913816,SOYO C
-16.265131,-0.38426605,SOYO C
-16.246243,3.0683677,SOYO C
8.963618,7.866437,SOYO C
8.1674185,8.760753,SOYO C
9.931033,9.594383,SOYO C
7.075666,9.974419,SOYO C
6.8633337,9.200194,SOYO C
9.345127,11.040731,SOYO C
10.648054,9.832894,SOYO C
9.948151,9.502471,SOYO C
8.216182,10.696427,SOYO C
10.336182,11.056802,SOYO C
10.101702,10.800654,SOYO C
8.912056,9.740688,SOYO C
10.301867,10.613336,SOYO C
9.598173,11.451948,SOYO C
-3.7389662,-1.5714178,SOYO C
9.16302,10.324119,SOYO C
10.392958,9.141784,SOYO C
10.136686,10.974922,SOYO C
10.265896,12.031985,SOYO C
9.867113,10.657842,SOYO C
11.242124,-7.410845,VO C
10.33943,-9.057436,VO C
2.9744709,-6.1793065,VO C
5.538948,-7.2742944,VO C
3.3673728,-5.376363,VO C
11.044242,-7.258944,VO C
11.155059,-7.6094413,VO C
3.7145314,-6.117745,VO C
5.6130524,-6.1846123,VO C
3.4958277,-5.526862,VO C
9.724904,-7.086171,VO C
11.174312,-7.108976,VO C
6.137394,-6.879158,VO C
5.7093444,-6.611278,VO C
6.303048,-5.751591,VO C
10.609337,-7.6704507,VO C
11.5212,-7.7456207,VO C
11.691332,-7.9430513,VO C
9.345596,-7.657793,VO C
9.35101,-7.026086,VO C
8.198998,-6.4572754,VO C
2.1113422,-7.320864,VO C
4.3717675,-8.39701,VO C
10.123664,-4.557216,VO C
3.9177706,-8.336686,VO C
5.5320415,-5.1517262,VO C
5.74057,-8.512047,VO C
3.9118657,-7.1275935,VO C
10.505689,-4.006035,VO C
8.628946,-5.7979255,VO C
6.3025784,-7.443399,VO C
3.370961,-5.657152,VO C
0.95810235,-6.806063,VO C
8.1188545,-6.5535355,VO C
4.318145,-8.022027,VO C
4.703224,-6.79031,VO C
2.2229939,-7.3945756,VO C
7.0065565,-6.3411837,VO C
4.9592648,-7.8991337,VO C
