Oil_Type,Feature 1,Feature 2,Feature 3
PO,-0.4963274,-12.104413,-1.6897869
PO,0.012277447,-12.5192375,-1.5762259
PO,0.8148778,-12.556695,-2.1707911
PO,0.20855224,-13.074174,-3.2290163
PO,-0.1785348,-12.401344,-1.7350367
PO,0.14035128,-12.058754,-1.6158726
PO,-0.29823261,-12.515338,-2.2996721
PO,-0.27015904,-12.58889,-1.9710941
PO,0.84401697,-12.14397,-1.5164157
PO,0.95271397,-12.965614,-3.6972106
PO,-1.1136447,-12.142644,-2.1344507
PO,0.17021413,-12.553903,-2.3821344
PO,-0.1191896,-12.675374,-2.771278
PO,-0.42810425,-12.4542055,-5.0609174
PO,-1.1914463,-11.975937,-3.6279132
PO,0.18345122,-12.514177,-3.43352
PO,0.475434,-11.300183,-4.4412427
PO,1.2637076,-11.910627,-2.6741526
PO,-0.3124328,-12.104192,-4.4137316
PO,0.50518453,-12.568907,-4.115005
PO,0.24523373,-11.608191,-3.4732914
PO,0.3771817,-11.669245,-2.23123
PO,-0.059091493,-12.263688,-3.7271297
PO,1.8604419,-12.393318,-3.0388985
PO,0.46602395,-11.991975,-3.2784226
PO,0.76369864,-11.50396,-2.9442234
PO,-0.10905844,-11.608135,-2.8574886
PO,-0.22361271,-11.624981,-2.3113165
PO,-1.2549694,-12.2876425,-3.2421196
PO,1.3498677,-11.963865,-2.0875874
PO,-0.558421,-11.809755,-3.3282497
PO,-0.014640961,-11.754718,-2.8454938
PO,0.22315367,-11.635876,-2.725376
PO,0.50319326,-14.119589,-5.078218
PO,0.03790608,-11.348828,-5.4821534
PO,1.844341,-11.697387,-4.5021644
PO,2.0924277,-10.7685995,-2.3378599
PO,1.9325217,-11.902287,-2.9434154
PO,0.9916155,-9.823699,-1.7284286
PO,1.5039229,-11.093743,-3.670416
PO,-1.3509268,-10.679362,-1.466227
PO,-0.22010706,-10.784207,-2.5806737
PO,-0.5037487,-10.505634,-3.0082264
PO,2.010696,-10.913139,-4.127561
PO,0.11003677,-11.432937,-3.9864438
PO,1.2688903,-11.120547,-1.9637566
PO,-0.38279906,-10.895596,-2.3321133
PO,-0.92649853,-12.060256,-4.4197726
PO,0.8184801,-10.344573,-3.8015778
PO,-1.8067504,-11.578615,-3.8679826
PO,0.32492054,-11.5091,-4.4042115
PO,1.1622467,-9.870035,-2.7478175
PO,0.1990628,-10.747565,-1.5503665
PO,1.0680158,-12.915745,-5.1600795
PO,2.1486578,-10.474874,-3.3693876
PO,-0.445983,-10.885458,-3.2762804
PO,1.035618,-10.79139,-1.7604451
PO,-0.32789794,-10.0704155,-2.1449583
PO,0.93426234,-11.002738,-3.5404737
PO,-1.4030267,-10.866867,-2.535571
PO,-0.19403635,-10.765074,-3.9803004
PO,0.3865942,-10.680447,-3.2110295
PO,-1.4026523,-11.627229,-3.4874253
PO,0.78165156,-11.485724,-4.3589444
PO,-0.64160025,-11.961904,-2.9236228
PO,1.6458591,-10.846112,-1.9416974
PO,-1.0502115,-11.215966,-2.6310751
PO,-0.5106145,-10.983563,-4.774226
PO,0.8815953,-12.560417,-4.7560487
PO,1.2429342,-10.847527,-2.450449
PO,0.023628803,-11.113137,-2.5554678
PO,-0.18516383,-11.6723795,-3.067381
PO,0.48956886,-10.656589,-2.4370058
PO,-1.210628,-14.784948,-2.503659
PO,2.230277,-13.125304,-3.5026963
PO,0.26290601,-14.326996,-2.8036592
PO,1.2596247,-13.950147,-2.0637856
PO,0.021028576,-13.84895,-3.2434986
PO,1.0273024,-14.282691,-1.3043875
PO,1.39358,-13.014081,-1.1113101
PO,1.277118,-13.720399,-2.225472
PO,-0.25685155,-13.236216,-2.1428585
PO,1.3887196,-14.189607,-2.3759072
PO,2.1817102,-13.166257,-2.7508602
PO,0.27033454,-13.797172,-2.5679724
PO,1.3589346,-12.747214,-1.142614
PO,-0.4759542,-12.548085,-2.0485468
PO,0.5442126,-13.253493,-0.53470355
PO,-0.83999467,-14.044639,-4.495523
PO,1.0825776,-13.570956,-2.9781625
PO,1.1237357,-13.05169,-2.4665139
PO,-0.49102506,-13.404863,-2.4766023
PO,0.96513826,-13.416379,-2.0941205
GNO,1.6358021,0.32811496,-10.1801815
GNO,1.7967575,-0.44805667,-8.975469
GNO,2.1756907,-1.1059432,-9.638678
GNO,1.2116292,-0.21559933,-9.977962
GNO,1.1148143,-1.6603272,-10.0919485
GNO,1.5461192,-0.8900611,-8.9679165
GNO,1.5427849,-0.5149259,-9.627137
GNO,0.41845998,-1.4819798,-10.848004
GNO,1.0426794,-0.96735674,-9.627645
GNO,1.5628848,-1.2146602,-9.934065
GNO,1.3864585,-1.3407232,-10.286612
GNO,1.395973,-0.91943043,-9.836148
GNO,1.3850845,-0.8617453,-10.053197
GNO,1.5992483,-1.0658556,-9.753269
GNO,1.3794733,-0.81142247,-9.460892
GNO,2.0890908,-1.1796141,-9.926606
GNO,1.5321642,-0.8035587,-9.387523
GNO,1.3795774,-1.2198492,-9.658843
GNO,1.6034176,-1.1908656,-9.475103
GNO,2.0757709,-1.2560606,-9.000645
GNO,1.1710716,-2.019296,-9.630034
GNO,1.1378936,-1.6083857,-10.081897
GNO,2.1745064,-1.234273,-10.003902
GNO,0.5279533,-1.4078819,-9.468328
GNO,3.6050532,0.81825954,-6.839914
GNO,3.307786,0.60259885,-6.682765
GNO,2.9343352,1.2079948,-5.939704
GNO,3.1967874,1.0084492,-6.2374644
GNO,3.5042832,1.0168605,-6.455249
