Oil_Type,Feature 1,Feature 2,Feature 3
SOYO,1.5186555,-6.7146482,-7.2471447
SOYO,4.6092777,-6.118815,-6.0416527
SOYO,2.8956978,-5.1381407,-5.1775103
SOYO,2.1267312,-6.4985094,-7.202859
SOYO,2.180874,-6.0988817,-6.6286564
SOYO,3.3721073,-5.26438,-6.375141
SOYO,3.8738766,-6.790366,-5.645679
SOYO,3.6950684,-5.969766,-5.675216
SOYO,1.00362,-6.5420775,-6.8289633
SOYO,1.5137581,-5.8664517,-7.2145724
SOYO,1.3543005,-5.073071,-5.8631606
SOYO,4.4920263,-6.205377,-4.498365
SOYO,2.9619348,-8.070721,-4.469043
SOYO,4.276486,-4.4726343,0.8904955
SOYO,2.87036,-7.438371,-5.5824223
SOYO,0.8284204,-8.272195,-5.6264386
SOYO,1.5408946,-6.6674724,-6.142073
SOYO,3.6311364,-6.5060177,-5.6260376
SOYO,3.7322772,-7.0729594,-5.0009575
SOYO,3.852467,-7.424435,-4.0929923
SOYO,3.285765,-6.383536,-5.4709196
SOYO,1.9563687,-7.206988,-5.5169806
SOYO,2.6183689,-5.5307794,-4.9998875
SOYO,1.4578092,-7.0047364,-5.106828
SOYO,3.2340038,-6.5411067,-4.8574705
SOYO,2.7138503,-5.988045,-5.8033843
SOYO,1.5912813,-5.145437,-6.346053
SOYO,1.2168951,-8.25223,-5.303
SOYO,2.0224001,-5.346853,-4.6314044
SOYO,1.5703021,-6.2965713,-5.980974
SOYO,2.009541,-6.191952,-6.1603827
SOYO,3.87295,-8.294181,-6.165157
SOYO,2.829534,-9.102259,-5.678133
SOYO,3.1475184,-8.562297,-4.9047155
SOYO,3.0851383,-7.4639544,-6.446954
SOYO,0.9712478,-8.206794,-5.826795
SOYO,0.53078264,-7.1634083,-6.0510187
SOYO,2.5293548,-7.1457806,-4.579136
