Feature 1,Feature 2,Oil_Type
-2.552173,-27.289238,PO
-4.436866,-25.095285,PO
-2.6533802,-24.204548,PO
-1.5340021,-28.827135,PO
-4.8411026,-26.027239,PO
-2.5591917,-25.82224,PO
-3.3652234,-24.419708,PO
-2.9114008,-24.087881,PO
-3.3234854,-26.307047,PO
-3.6035492,-25.697102,PO
-3.1580315,-26.582294,PO
-3.2803066,-25.644249,PO
-3.3248713,-26.669329,PO
-2.7648895,-27.319614,PO
-1.8839033,-25.727057,PO
-3.7292743,-24.374538,PO
-2.9092946,-25.551733,PO
-2.9652045,-27.911142,PO
-1.7094481,-28.078674,PO
-3.549167,-25.011765,PO
-2.5703633,-25.08944,PO
-2.2407124,-25.785877,PO
-3.1241236,-25.0179,PO
2.566504,-23.45597,PO
0.07347535,-27.215021,PO
0.71578723,-26.420362,PO
0.911061,-25.732635,PO
0.072853565,-26.29735,PO
1.1380253,-25.023748,PO
0.4475602,-24.720545,PO
0.56542826,-25.856874,PO
-0.3915424,-25.148623,PO
1.0987511,-26.04619,PO
0.31771165,-27.131134,PO
0.21111822,-25.797611,PO
0.18284681,-24.62295,PO
-1.2133946,-24.749466,PO
0.34857425,-23.811804,PO
-2.539887,-22.342722,PO
0.3728806,-25.47915,PO
-0.123445764,-25.598114,PO
-0.34202072,-25.275223,PO
0.30878106,-25.296377,PO
-3.0863528,6.753989,GNO
-2.1037016,6.0763493,GNO
-2.3390274,5.2349253,GNO
-3.1640851,6.2182956,GNO
-3.2146122,4.8485384,GNO
-2.220499,5.6626263,GNO
-2.7374365,5.9154935,GNO
-4.2509933,4.6832495,GNO
-3.2015896,5.478822,GNO
-2.9339113,5.239956,GNO
-3.2777956,5.105529,GNO
-2.9660158,5.5478945,GNO
-3.11644,5.576831,GNO
-2.7255478,5.3757563,GNO
-2.7289379,5.6528244,GNO
-2.561139,5.1773095,GNO
-2.6192167,5.663106,GNO
-2.9224393,5.265966,GNO
-2.7249851,5.3698325,GNO
-2.0821292,5.3229103,GNO
-2.9934926,4.429516,GNO
-3.2891698,4.903264,GNO
-2.4027715,5.0393176,GNO
-3.4988263,4.8602023,GNO
1.3117869,7.2377825,GNO
1.2411213,7.442213,GNO
1.7950244,8.049095,GNO
1.6149668,7.74684,GNO
1.5907801,7.487568,GNO
1.502822,7.245901,GNO
1.7213955,7.917839,GNO
1.4302387,7.579293,GNO
1.5072044,7.702863,GNO
1.3866582,7.5792804,GNO
1.3736422,7.212275,GNO
1.308451,7.647985,GNO
1.4773926,7.7992487,GNO
1.4379439,7.5913277,GNO
1.4659499,7.6707172,GNO
1.5733771,7.7443604,GNO
-3.8741663,5.413606,GNO
-2.6813776,4.1398025,GNO
-3.5594666,6.19224,GNO
-4.5907164,5.1762195,GNO
-3.6606154,5.7192593,GNO
-2.701118,4.040247,GNO
-3.6813543,6.3824935,GNO
-3.413302,6.892839,GNO
-5.0334177,6.206226,GNO
-4.924704,6.5426087,GNO
-1.6497941,5.299803,GNO
-1.626335,8.824148,GNO
-1.6308888,7.2512784,GNO
-1.7381936,7.9814568,GNO
-0.90977037,6.455897,GNO
-1.6536881,6.7560816,GNO
-0.7818906,7.0750575,GNO
-1.359781,7.7218986,GNO
-1.456076,7.509062,GNO
-1.2054898,7.5625334,GNO
-5.440106,11.183641,GNO
-5.7443843,10.399178,GNO
-4.743661,13.224573,GNO
-6.1992607,12.878435,GNO
-5.7833977,11.33342,GNO
-6.2760043,13.807781,GNO
-5.607788,11.932784,GNO
-6.174524,11.250266,GNO
-5.3502054,11.183923,GNO
-7.084183,10.3177595,GNO
-4.839781,13.388327,GNO
-6.2682014,10.683727,GNO
-6.2391524,11.573895,GNO
-4.7195854,11.163352,GNO
-5.33333,13.85989,GNO
-5.7627015,13.354465,GNO
-5.509726,11.152586,GNO
-6.5248585,12.404654,GNO
-6.7707367,14.043157,GNO
-5.660147,14.816082,GNO
-4.583641,14.955202,GNO
-6.4394474,11.072536,GNO
-6.3651805,12.868413,GNO
-7.6144414,12.654448,GNO
-6.235256,12.206984,GNO
-5.7770796,13.8673725,GNO
-7.6489673,13.665957,GNO
-6.6340427,12.951341,GNO
-5.8751354,12.018827,GNO
-7.2194033,11.39936,GNO
-6.909819,11.377789,GNO
-7.2350883,12.561314,GNO
-6.9383116,11.898479,GNO
-2.8032002,13.34388,GNO
-4.005351,12.098886,GNO
-3.37947,12.733666,GNO
-4.3741794,11.96637,GNO
-4.6225386,11.993745,GNO
-3.8953006,12.1966715,GNO
-2.1276877,13.693929,GNO
-6.277653,12.55656,GNO
-8.020407,11.471535,GNO
-4.460669,14.115162,GNO
-5.409362,12.186373,GNO
-5.3633866,12.726346,GNO
-5.041302,13.695666,GNO
-5.958411,12.174091,GNO
-5.232636,12.475058,GNO
-4.9789233,12.406701,GNO
-5.1749344,12.676242,GNO
-5.0019064,13.957418,GNO
-5.1445312,11.60658,GNO
-5.286876,12.837422,GNO
-4.144601,13.335375,GNO
-5.4941435,11.358175,GNO
-5.4963984,12.884219,GNO
-4.9337425,12.864055,GNO
-4.0500774,13.276773,GNO
-4.76766,12.452466,GNO
-3.7158282,12.617318,GNO
-4.063585,12.0866785,GNO
-3.485783,12.900175,GNO
-2.2932928,12.635041,GNO
-1.1854662,11.8052,GNO
-2.4334424,11.916456,GNO
-2.274743,11.904289,GNO
-2.508114,12.452,GNO
-2.5375233,11.958251,GNO
-2.705006,11.961053,GNO
-2.7150793,12.088644,GNO
-1.93207,11.908599,GNO
-2.649875,12.442057,GNO
-1.2133598,12.566527,GNO
-2.691509,12.013744,GNO
-2.5151894,12.347067,GNO
-2.6350298,11.9961815,GNO
-1.6899974,11.275465,GNO
-1.7817981,12.27573,GNO
-1.8289295,12.581692,GNO
-2.6540196,12.129928,GNO
-5.5566025,10.716632,GNO
-4.5910797,10.372499,GNO
-7.544903,10.544259,GNO
-2.4735165,10.987098,GNO
-1.9674898,13.796288,GNO
-3.583895,12.032528,GNO
-3.3919148,10.666508,GNO
-3.6073534,11.664358,GNO
-3.5579224,11.181296,GNO
-3.1047802,11.103713,GNO
-3.7322786,11.625031,GNO
-2.9372668,10.591763,GNO
-3.5857418,11.316361,GNO
-2.9289503,11.518114,GNO
-3.0361042,10.907969,GNO
-3.3580694,11.260983,GNO
-3.418385,10.904478,GNO
-3.4814417,11.09814,GNO
-3.357769,14.71237,GNO
-3.9584506,11.036929,GNO
-5.5160866,9.292767,GNO
-6.7701783,8.5450945,GNO
-6.5650134,9.25286,GNO
-5.7709246,8.287217,GNO
-5.3668633,9.183983,GNO
-6.416324,8.45176,GNO
-6.010825,8.582689,GNO
-5.2594185,8.409884,GNO
-4.0857053,8.79108,GNO
-4.5140643,8.488439,GNO
-4.52296,8.492234,GNO
-4.025287,9.521408,GNO
-5.085811,7.7259507,GNO
-6.367641,8.154322,GNO
-4.750693,8.95562,GNO
-5.5647554,8.211032,GNO
-4.6958466,8.028079,GNO
-4.4012914,8.461447,GNO
-4.725534,8.264309,GNO
-5.2894664,7.9984026,GNO
-1.3094254,9.5793295,GNO
-1.0120382,8.452021,GNO
-0.46518767,7.930261,GNO
-1.8967535,8.124255,GNO
-1.5713925,8.117843,GNO
-1.3351636,7.6813006,GNO
-0.8524863,7.5166173,GNO
-2.3200984,7.7391763,GNO
-1.6146516,7.5970078,GNO
-2.601999,7.186706,GNO
-2.7146957,7.637812,GNO
