Feature 1,Feature 2,Oil_Type
1.3307374,-19.946468,SOYO
-0.27172863,-18.60204,SOYO
0.85656464,-19.514723,SOYO
0.67891335,-17.384636,SOYO
1.2122607,-18.775934,SOYO
0.2158278,-17.233831,SOYO
0.60103405,-17.697014,SOYO
0.5389752,-20.796537,SOYO
1.090275,-18.665634,SOYO
0.6542332,-15.757529,SOYO
-0.38099208,-16.755466,SOYO
0.8184042,-17.55623,SOYO
0.19336303,-16.454338,SOYO
-0.20385031,-16.23791,SOYO
0.93822783,-17.467888,SOYO
0.7349021,-17.929071,SOYO
0.56217396,-17.114887,SOYO
0.65722626,-17.066074,SOYO
-0.15102671,-13.942096,SOYO
1.2385967,-18.197449,SOYO
0.27180284,-17.934254,SOYO
1.083706,-16.931599,SOYO
0.67053294,-16.736359,SOYO
1.1631724,-16.506927,SOYO
1.2144973,-18.182207,SOYO
1.083918,-17.629461,SOYO
2.0526998,-18.352695,SOYO
0.69522566,-16.956198,SOYO
0.5824154,-16.650562,SOYO
1.4892576,-17.401169,SOYO
1.1821458,-18.227552,SOYO
1.3188409,-17.243906,SOYO
1.8796686,-17.697275,SOYO
1.5303729,-15.673448,SOYO
1.6185942,-17.822773,SOYO
0.9444788,-15.941023,SOYO
1.5144235,-17.628464,SOYO
0.5401499,-16.582886,SOYO
0.46425456,-17.57131,SOYO
1.6967005,-18.693352,SOYO
1.1414955,-17.799852,SOYO
1.6601678,-17.95797,SOYO
0.9734225,-17.41508,SOYO
2.6719368,-27.425371,SOYO
2.6383607,-27.409134,SOYO
2.7014065,-27.330671,SOYO
2.6486712,-27.191816,SOYO
2.6515949,-27.177338,SOYO
2.6486773,-27.254095,SOYO
2.5628808,-27.333214,SOYO
2.7764306,-27.126812,SOYO
2.6204758,-27.086357,SOYO
2.6606135,-26.995474,SOYO
2.5617814,-27.000326,SOYO
2.742358,-26.815863,SOYO
2.7383177,-26.926544,SOYO
2.5626965,-26.704123,SOYO
1.9214703,-26.93868,SOYO
2.8106234,-26.75194,SOYO
2.529384,-26.70872,SOYO
2.6372077,-26.768154,SOYO
2.5063407,-26.545126,SOYO
3.0962372,-26.608501,SOYO
2.2029006,-26.284927,SOYO
2.9246757,-26.050692,SOYO
2.453236,-25.98493,SOYO
2.5199955,-26.250914,SOYO
2.5200214,-26.023495,SOYO
2.5379505,-25.985603,SOYO
3.5609736,-25.602583,SOYO
2.5656397,-25.9315,SOYO
2.723424,-26.123514,SOYO
2.4130225,-25.790485,SOYO
2.8186507,-25.632273,SOYO
2.4971647,-25.715885,SOYO
2.2326908,-25.86749,SOYO
2.3217263,-25.795752,SOYO
2.5043328,-25.792007,SOYO
2.511006,-25.576317,SOYO
2.4947174,-25.60617,SOYO
2.4285762,-25.58721,SOYO
2.047126,-25.00742,SOYO
2.737691,-25.433197,SOYO
1.5219741,-16.105295,SOYO
1.9098002,-16.381283,SOYO
1.6928313,-16.018942,SOYO
1.9015149,-16.337708,SOYO
1.8317618,-16.9223,SOYO
2.3219855,-17.212826,SOYO
3.2792673,-17.611475,SOYO
2.9072626,-18.055248,SOYO
3.0288444,-15.656099,SOYO
2.0170138,-17.328066,SOYO
2.6851351,-17.019474,SOYO
3.0413454,-18.429222,SOYO
2.7343254,-17.464203,SOYO
2.436242,-17.277767,SOYO
2.9151642,-16.704582,SOYO
3.2251098,-16.559563,SOYO
3.0264318,-16.752901,SOYO
2.6943555,-17.600834,SOYO
2.8538842,-17.040436,SOYO
2.9501536,-16.947891,SOYO
4.087485,-16.236286,SOYO
