dataset,model,wavenumber,selection_count,selection_rate,mean_importance,std_importance
chips,baseline,2808.318,2,0.2,0.001061507936507936,0.002453360513086539
chips,baseline,848.0317,2,0.2,0.0009589947089947091,0.0022614470384772654
chips,baseline,680.2551,2,0.2,0.0009508164078056557,0.0020598624332615486
chips,baseline,1467.069,2,0.2,0.0009369488536155206,0.0023499785720158565
chips,baseline,622.4011,2,0.2,0.0009259259259259259,0.002049197537675882
chips,baseline,1291.579,2,0.2,0.0009221466364323517,0.0019703275826758932
chips,baseline,794.9988,2,0.2,0.0009091970121381888,0.001954525296636553
chips,baseline,964.7039,2,0.2,0.0008928571428571428,0.0020087754693766456
chips,baseline,2948.132,2,0.2,0.0008843537414965985,0.0019548829273490784
chips,baseline,939.6338,2,0.2,0.0008750508750508751,0.002016946081201046
chips,baseline,1639.667,2,0.2,0.0008101851851851852,0.0018320125717076405
chips,baseline,967.5967,2,0.2,0.0007636207636207629,0.0016107569510312636
chips,baseline,1572.171,2,0.2,0.0007495590828924161,0.0017855781950014628
chips,baseline,2834.352,2,0.2,0.0007482993197278913,0.001577654077068729
chips,baseline,1461.284,2,0.2,0.0007369614512471653,0.0017483043849161562
chips,baseline,1125.731,2,0.2,0.0007141774821494281,0.001510753331370483
chips,baseline,758.3579,2,0.2,0.0006906288156288164,0.0014732313658495926
chips,baseline,1726.448,2,0.2,0.0006755479969765686,0.0014367048666469905
chips,baseline,1166.229,2,0.2,0.000673558897243108,0.0014319361765552684
chips,baseline,885.6367,2,0.2,0.0006547619047619048,0.001387470931511674
chips,baseline,1529.745,2,0.2,0.0005291005291005291,0.0011581944917604674
chips,baseline,1862.405,2,0.2,0.000529100529100529,0.0011154418554385815
chips,baseline,1605.919,2,0.2,0.0004960317460317461,0.001071551041403416
