dataset,model,split,true_label,predicted_label,count
chips_paper_subtracted,baseline,test,SO,GNO,7
chips_paper_subtracted,baseline,test,SO,PO,0
chips_paper_subtracted,baseline,test,SO,SO,34
chips_paper_subtracted,baseline,test,SO,SOYO,11
chips_paper_subtracted,baseline,test,SO,VO,2
chips_paper_subtracted,baseline,test,SOYO,GNO,5
chips_paper_subtracted,baseline,test,SOYO,PO,0
chips_paper_subtracted,baseline,test,SOYO,SO,19
chips_paper_subtracted,baseline,test,SOYO,SOYO,30
chips_paper_subtracted,baseline,test,SOYO,VO,0
chips_paper_subtracted,baseline,test,VO,GNO,0
chips_paper_subtracted,baseline,test,VO,PO,4
chips_paper_subtracted,baseline,test,VO,SO,0
chips_paper_subtracted,baseline,test,VO,SOYO,0
chips_paper_subtracted,baseline,test,VO,VO,50
chips_paper_subtracted,pre_pruned,train,GNO,GNO,119
chips_paper_subtracted,pre_pruned,train,GNO,PO,0
chips_paper_subtracted,pre_pruned,train,GNO,SO,3
chips_paper_subtracted,pre_pruned,train,GNO,SOYO,4
chips_paper_subtracted,pre_pruned,train,GNO,VO,0
chips_paper_subtracted,pre_pruned,train,PO,GNO,1
chips_paper_subtracted,pre_pruned,train,PO,PO,124
chips_paper_subtracted,pre_pruned,train,PO,SO,0
chips_paper_subtracted,pre_pruned,train,PO,SOYO,1
chips_paper_subtracted,pre_pruned,train,PO,VO,0
chips_paper_subtracted,pre_pruned,train,SO,GNO,0
chips_paper_subtracted,pre_pruned,train,SO,PO,0
chips_paper_subtracted,pre_pruned,train,SO,SO,115
chips_paper_subtracted,pre_pruned,train,SO,SOYO,11
chips_paper_subtracted,pre_pruned,train,SO,VO,0
chips_paper_subtracted,pre_pruned,train,SOYO,GNO,2
chips_paper_subtracted,pre_pruned,train,SOYO,PO,0
chips_paper_subtracted,pre_pruned,train,SOYO,SO,33
chips_paper_subtracted,pre_pruned,train,SOYO,SOYO,91
chips_paper_subtracted,pre_pruned,train,SOYO,VO,0
chips_paper_subtracted,pre_pruned,train,VO,GNO,2
chips_paper_subtracted,pre_pruned,train,VO,PO,0
chips_paper_subtracted,pre_pruned,train,VO,SO,0
chips_paper_subtracted,pre_pruned,train,VO,SOYO,0
chips_paper_subtracted,pre_pruned,train,VO,VO,124
chips_paper_subtracted,pre_pruned,test,GNO,GNO,45
chips_paper_subtracted,pre_pruned,test,GNO,PO,3
chips_paper_subtracted,pre_pruned,test,GNO,SO,3
chips_paper_subtracted,pre_pruned,test,GNO,SOYO,3
chips_paper_subtracted,pre_pruned,test,GNO,VO,0
chips_paper_subtracted,pre_pruned,test,PO,GNO,6
chips_paper_subtracted,pre_pruned,test,PO,PO,45
chips_paper_subtracted,pre_pruned,test,PO,SO,0
chips_paper_subtracted,pre_pruned,test,PO,SOYO,0
chips_paper_subtracted,pre_pruned,test,PO,VO,3
chips_paper_subtracted,pre_pruned,test,SO,GNO,8
chips_paper_subtracted,pre_pruned,test,SO,PO,1
chips_paper_subtracted,pre_pruned,test,SO,SO,37
chips_paper_subtracted,pre_pruned,test,SO,SOYO,8
chips_paper_subtracted,pre_pruned,test,SO,VO,0
chips_paper_subtracted,pre_pruned,test,SOYO,GNO,4
chips_paper_subtracted,pre_pruned,test,SOYO,PO,0
chips_paper_subtracted,pre_pruned,test,SOYO,SO,27
chips_paper_subtracted,pre_pruned,test,SOYO,SOYO,23
chips_paper_subtracted,pre_pruned,test,SOYO,VO,0
chips_paper_subtracted,pre_pruned,test,VO,GNO,0
chips_paper_subtracted,pre_pruned,test,VO,PO,5
chips_paper_subtracted,pre_pruned,test,VO,SO,0
chips_paper_subtracted,pre_pruned,test,VO,SOYO,0
chips_paper_subtracted,pre_pruned,test,VO,VO,49
chips_paper_subtracted,post_pruned,train,GNO,GNO,117
chips_paper_subtracted,post_pruned,train,GNO,PO,6
chips_paper_subtracted,post_pruned,train,GNO,SO,3
chips_paper_subtracted,post_pruned,train,GNO,SOYO,0
chips_paper_subtracted,post_pruned,train,GNO,VO,0
chips_paper_subtracted,post_pruned,train,PO,GNO,2
chips_paper_subtracted,post_pruned,train,PO,PO,120
chips_paper_subtracted,post_pruned,train,PO,SO,0
chips_paper_subtracted,post_pruned,train,PO,SOYO,0
chips_paper_subtracted,post_pruned,train,PO,VO,4
chips_paper_subtracted,post_pruned,train,SO,GNO,4
chips_paper_subtracted,post_pruned,train,SO,PO,0
chips_paper_subtracted,post_pruned,train,SO,SO,95
chips_paper_subtracted,post_pruned,train,SO,SOYO,27
chips_paper_subtracted,post_pruned,train,SO,VO,0
chips_paper_subtracted,post_pruned,train,SOYO,GNO,9
chips_paper_subtracted,post_pruned,train,SOYO,PO,2
chips_paper_subtracted,post_pruned,train,SOYO,SO,26
chips_paper_subtracted,post_pruned,train,SOYO,SOYO,89
chips_paper_subtracted,post_pruned,train,SOYO,VO,0
chips_paper_subtracted,post_pruned,train,VO,GNO,0
chips_paper_subtracted,post_pruned,train,VO,PO,3
chips_paper_subtracted,post_pruned,train,VO,SO,0
chips_paper_subtracted,post_pruned,train,VO,SOYO,0
chips_paper_subtracted,post_pruned,train,VO,VO,123
chips_paper_subtracted,post_pruned,test,GNO,GNO,49
chips_paper_subtracted,post_pruned,test,GNO,PO,3
chips_paper_subtracted,post_pruned,test,GNO,SO,0
chips_paper_subtracted,post_pruned,test,GNO,SOYO,2
chips_paper_subtracted,post_pruned,test,GNO,VO,0
chips_paper_subtracted,post_pruned,test,PO,GNO,0
chips_paper_subtracted,post_pruned,test,PO,PO,52
chips_paper_subtracted,post_pruned,test,PO,SO,0
chips_paper_subtracted,post_pruned,test,PO,SOYO,0
chips_paper_subtracted,post_pruned,test,PO,VO,2
chips_paper_subtracted,post_pruned,test,SO,GNO,10
chips_paper_subtracted,post_pruned,test,SO,PO,2
chips_paper_subtracted,post_pruned,test,SO,SO,34
chips_paper_subtracted,post_pruned,test,SO,SOYO,8
chips_paper_subtracted,post_pruned,test,SO,VO,0
chips_paper_subtracted,post_pruned,test,SOYO,GNO,6
chips_paper_subtracted,post_pruned,test,SOYO,PO,1
chips_paper_subtracted,post_pruned,test,SOYO,SO,17
chips_paper_subtracted,post_pruned,test,SOYO,SOYO,30
chips_paper_subtracted,post_pruned,test,SOYO,VO,0
chips_paper_subtracted,post_pruned,test,VO,GNO,0
chips_paper_subtracted,post_pruned,test,VO,PO,5
chips_paper_subtracted,post_pruned,test,VO,SO,0
chips_paper_subtracted,post_pruned,test,VO,SOYO,0
chips_paper_subtracted,post_pruned,test,VO,VO,49
chips_paper_and_potato_subtracted,baseline,train,GNO,GNO,126
chips_paper_and_potato_subtracted,baseline,train,GNO,PO,0
chips_paper_and_potato_subtracted,baseline,train,GNO,SO,0
chips_paper_and_potato_subtracted,baseline,train,GNO,SOYO,0
chips_paper_and_potato_subtracted,baseline,train,GNO,VO,0
chips_paper_and_potato_subtracted,baseline,train,PO,GNO,0
chips_paper_and_potato_subtracted,baseline,train,PO,PO,126
chips_paper_and_potato_subtracted,baseline,train,PO,SO,0
chips_paper_and_potato_subtracted,baseline,train,PO,SOYO,0
chips_paper_and_potato_subtracted,baseline,train,PO,VO,0
chips_paper_and_potato_subtracted,baseline,train,SO,GNO,0
chips_paper_and_potato_subtracted,baseline,train,SO,PO,0
chips_paper_and_potato_subtracted,baseline,train,SO,SO,126
chips_paper_and_potato_subtracted,baseline,train,SO,SOYO,0
chips_paper_and_potato_subtracted,baseline,train,SO,VO,0
chips_paper_and_potato_subtracted,baseline,train,SOYO,GNO,0
chips_paper_and_potato_subtracted,baseline,train,SOYO,PO,0
chips_paper_and_potato_subtracted,baseline,train,SOYO,SO,0
chips_paper_and_potato_subtracted,baseline,train,SOYO,SOYO,126
chips_paper_and_potato_subtracted,baseline,train,SOYO,VO,0
chips_paper_and_potato_subtracted,baseline,train,VO,GNO,0
chips_paper_and_potato_subtracted,baseline,train,VO,PO,0
chips_paper_and_potato_subtracted,baseline,train,VO,SO,0
chips_paper_and_potato_subtracted,baseline,train,VO,SOYO,0
chips_paper_and_potato_subtracted,baseline,train,VO,VO,126
chips_paper_and_potato_subtracted,baseline,test,GNO,GNO,47
chips_paper_and_potato_subtracted,baseline,test,GNO,PO,5
chips_paper_and_potato_subtracted,baseline,test,GNO,SO,1
chips_paper_and_potato_subtracted,baseline,test,GNO,SOYO,0
chips_paper_and_potato_subtracted,baseline,test,GNO,VO,1
chips_paper_and_potato_subtracted,baseline,test,PO,GNO,2
chips_paper_and_potato_subtracted,baseline,test,PO,PO,47
chips_paper_and_potato_subtracted,baseline,test,PO,SO,0
chips_paper_and_potato_subtracted,baseline,test,PO,SOYO,1
chips_paper_and_potato_subtracted,baseline,test,PO,VO,4
chips_paper_and_potato_subtracted,baseline,test,SO,GNO,7
chips_paper_and_potato_subtracted,baseline,test,SO,PO,0
chips_paper_and_potato_subtracted,baseline,test,SO,SO,26
chips_paper_and_potato_subtracted,baseline,test,SO,SOYO,20
chips_paper_and_potato_subtracted,baseline,test,SO,VO,1
chips_paper_and_potato_subtracted,baseline,test,SOYO,GNO,4
chips_paper_and_potato_subtracted,baseline,test,SOYO,PO,0
chips_paper_and_potato_subtracted,baseline,test,SOYO,SO,20
chips_paper_and_potato_subtracted,baseline,test,SOYO,SOYO,30
chips_paper_and_potato_subtracted,baseline,test,SOYO,VO,0
chips_paper_and_potato_subtracted,baseline,test,VO,GNO,1
chips_paper_and_potato_subtracted,baseline,test,VO,PO,4
chips_paper_and_potato_subtracted,baseline,test,VO,SO,0
chips_paper_and_potato_subtracted,baseline,test,VO,SOYO,0
chips_paper_and_potato_subtracted,baseline,test,VO,VO,49
chips_paper_and_potato_subtracted,pre_pruned,train,GNO,GNO,122
chips_paper_and_potato_subtracted,pre_pruned,train,GNO,PO,0
chips_paper_and_potato_subtracted,pre_pruned,train,GNO,SO,3
chips_paper_and_potato_subtracted,pre_pruned,train,GNO,SOYO,1
chips_paper_and_potato_subtracted,pre_pruned,train,GNO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,train,PO,GNO,4
chips_paper_and_potato_subtracted,pre_pruned,train,PO,PO,122
chips_paper_and_potato_subtracted,pre_pruned,train,PO,SO,0
chips_paper_and_potato_subtracted,pre_pruned,train,PO,SOYO,0
chips_paper_and_potato_subtracted,pre_pruned,train,PO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,train,SO,GNO,1
chips_paper_and_potato_subtracted,pre_pruned,train,SO,PO,0
chips_paper_and_potato_subtracted,pre_pruned,train,SO,SO,86
chips_paper_and_potato_subtracted,pre_pruned,train,SO,SOYO,39
chips_paper_and_potato_subtracted,pre_pruned,train,SO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,train,SOYO,GNO,4
chips_paper_and_potato_subtracted,pre_pruned,train,SOYO,PO,0
chips_paper_and_potato_subtracted,pre_pruned,train,SOYO,SO,8
chips_paper_and_potato_subtracted,pre_pruned,train,SOYO,SOYO,114
chips_paper_and_potato_subtracted,pre_pruned,train,SOYO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,train,VO,GNO,2
chips_paper_and_potato_subtracted,pre_pruned,train,VO,PO,1
chips_paper_and_potato_subtracted,pre_pruned,train,VO,SO,0
chips_paper_and_potato_subtracted,pre_pruned,train,VO,SOYO,0
chips_paper_and_potato_subtracted,pre_pruned,train,VO,VO,123
chips_paper_and_potato_subtracted,pre_pruned,test,GNO,GNO,47
chips_paper_and_potato_subtracted,pre_pruned,test,GNO,PO,4
chips_paper_and_potato_subtracted,pre_pruned,test,GNO,SO,0
chips_paper_and_potato_subtracted,pre_pruned,test,GNO,SOYO,3
chips_paper_and_potato_subtracted,pre_pruned,test,GNO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,test,PO,GNO,5
chips_paper_and_potato_subtracted,pre_pruned,test,PO,PO,47
chips_paper_and_potato_subtracted,pre_pruned,test,PO,SO,0
chips_paper_and_potato_subtracted,pre_pruned,test,PO,SOYO,0
chips_paper_and_potato_subtracted,pre_pruned,test,PO,VO,2
chips_paper_and_potato_subtracted,pre_pruned,test,SO,GNO,6
chips_paper_and_potato_subtracted,pre_pruned,test,SO,PO,0
chips_paper_and_potato_subtracted,pre_pruned,test,SO,SO,27
chips_paper_and_potato_subtracted,pre_pruned,test,SO,SOYO,21
chips_paper_and_potato_subtracted,pre_pruned,test,SO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,test,SOYO,GNO,5
chips_paper_and_potato_subtracted,pre_pruned,test,SOYO,PO,0
chips_paper_and_potato_subtracted,pre_pruned,test,SOYO,SO,11
chips_paper_and_potato_subtracted,pre_pruned,test,SOYO,SOYO,38
chips_paper_and_potato_subtracted,pre_pruned,test,SOYO,VO,0
chips_paper_and_potato_subtracted,pre_pruned,test,VO,GNO,1
chips_paper_and_potato_subtracted,pre_pruned,test,VO,PO,5
chips_paper_and_potato_subtracted,pre_pruned,test,VO,SO,0
chips_paper_and_potato_subtracted,pre_pruned,test,VO,SOYO,0
chips_paper_and_potato_subtracted,pre_pruned,test,VO,VO,48
chips_paper_and_potato_subtracted,post_pruned,train,GNO,GNO,115
chips_paper_and_potato_subtracted,post_pruned,train,GNO,PO,7
chips_paper_and_potato_subtracted,post_pruned,train,GNO,SO,3
chips_paper_and_potato_subtracted,post_pruned,train,GNO,SOYO,1
chips_paper_and_potato_subtracted,post_pruned,train,GNO,VO,0
chips_paper_and_potato_subtracted,post_pruned,train,PO,GNO,2
